title,id,stage,creation,activity,type,components,status,creator
Stream encoder for zlib_codec doesn't use the incremental encoder,13881,4,2012-01-26.19:40:48,2015-07-16.02:08:14,5,['23'],1,2048
"README file installed into site-packages conflicts with package named ""readme""",24633,4,2015-07-14.08:07:26,2015-07-14.16:45:40,None,['10'],1,22130
document PEP 448: unpacking generalization,24136,4,2015-05-06.13:18:47,2015-07-13.20:59:54,6,['4'],1,4455
tokenize.py: missing EXACT_TOKEN_TYPES,24622,4,2015-07-12.19:29:37,2015-07-13.17:11:48,5,[],1,11089
Documents input/output effects of how IDLE runs user code,23220,4,2015-01-11.00:54:47,2015-07-12.21:27:52,6,"['4', '6']",1,15585
Providing a custom HTTPResponse class to HTTPConnection,13456,4,2011-11-22.19:02:13,2015-07-07.01:01:38,6,['4'],1,9663
"Add ""key"" argument to ""bisect"" module functions",4356,4,2008-11-19.17:17:27,2015-07-06.23:54:01,6,['9'],1,1083
"Can assign [] = (), but not () = []",23275,4,2015-01-19.19:05:47,2015-07-06.23:20:30,5,['8'],1,4470
Possible integer overflow in PyCode_New(),18295,4,2013-06-24.21:19:05,2015-07-06.13:51:22,1,['8'],1,2377
Speedup types.coroutine(),24325,4,2015-05-29.16:23:27,2015-07-05.18:41:42,6,['9'],1,16198
Suboptimal stacklevel of deprecation warnings for formatter and imp modules,23810,4,2015-03-30.01:54:14,2015-07-05.01:52:49,5,['9'],1,9138
atexit_callfuncs() crashing within Py_Finalize() when using multiple interpreters.,6531,4,2009-07-21.11:19:28,2015-07-03.00:32:22,1,['8'],1,8983
Make the PyGILState API compatible with multiple interpreters,10915,4,2011-01-15.14:52:39,2015-07-03.00:31:14,6,['8'],1,2040
make built-in tokenizer available via Python C API,3353,4,2008-07-14.11:32:15,2015-06-29.14:41:47,6,['8'],1,13
Update cgi module doc,11352,4,2011-02-28.12:14:19,2015-06-29.12:11:31,None,['4'],1,13521
Calling assertEquals for moderately long list takes too long,19217,4,2013-10-10.13:04:46,2015-06-29.12:10:13,3,['9'],1,16526
Document test.support.script_helper,18576,4,2013-07-28.12:32:44,2015-06-29.08:19:05,6,"['4', '12']",1,1309
Update _test_multiprocessing.py to use script helpers,24033,4,2015-04-23.00:26:47,2015-06-28.22:26:44,6,['12'],1,21254
tokenize/untokenize roundtrip fails with tabs,20387,4,2014-01-24.22:51:15,2015-06-28.17:11:10,None,[],1,1290
making builtin exceptions more informative,1182143,4,2005-04-13.11:02:55,2015-06-27.15:55:41,6,['8'],1,1330
IDLE - shell becomes unresponsive if debugger windows is closed while active.,15348,4,2012-07-13.19:38:09,2015-06-23.23:47:06,5,['6'],1,7276
HTTPResponse may drop buffer holding next response,23377,4,2015-02-02.12:56:16,2015-06-22.12:44:07,5,['9'],1,14751
"Clarify difference between os.system/subprocess.call in section ""Replacing os.system()""",23750,4,2015-03-23.14:28:11,2015-06-22.06:32:54,6,['4'],1,21033
nntplib shouldn't raise generic EOFError,1186900,4,2005-04-20.19:52:50,2015-06-22.02:19:38,6,['9'],1,2219
Deprecate PIPE with subprocess.check_call() and call(),22442,4,2014-09-19.13:56:39,2015-06-21.09:47:32,6,['9'],1,19944
urllib2 failing with squid proxy and digest authentication,16095,4,2012-09-30.16:41:31,2015-06-21.07:47:23,5,['9'],1,16615
subprocess.check_output() docs misrepresent what shell=True does,20344,4,2014-01-22.14:25:04,2015-06-20.06:25:51,5,"['4', '9']",1,12765
Make libedit support more generic; port readline / libedit to FreeBSD,13501,4,2011-11-29.15:19:01,2015-06-19.11:59:48,6,"['1', '5']",1,9509
"csv.skipinitialspace only skips spaces, not ""whitespace"" in general",21297,4,2014-04-18.11:52:21,2015-06-18.22:24:47,5,"['4', '9']",1,19455
SimpleHTTPRequestHandler refactor for more extensible usage.,23255,4,2015-01-17.13:51:58,2015-06-18.16:19:16,6,['9'],1,20677
WeakValueDictionary bug in setdefault()&pop(),19542,4,2013-11-10.08:51:04,2015-06-18.15:24:27,5,['9'],1,43
Race condition compiling Modules/_math.c,24421,4,2015-06-10.08:06:40,2015-06-18.10:32:55,5,"['1', '3']",1,14751
_PyGen_FetchStopIterationValue() crashes on unnormalised exceptions,23996,4,2015-04-18.19:45:13,2015-06-17.16:56:58,1,['8'],1,2153
longMessage attribute is ignored in unittest.TestCase.assertRegexpMatches etc,20362,4,2014-01-23.09:39:37,2015-06-17.09:31:15,5,['9'],1,18901
ItemsView.__contains__ does not mimic dict_items,24434,4,2015-06-11.18:57:53,2015-06-16.04:23:41,5,['9'],1,21975
"Documentation doesn't explain the term ""coroutine"" (PEP 342)",24087,4,2015-04-30.20:25:52,2015-06-15.23:39:48,6,['4'],1,301
python socket module fails to build on Solaris when -zignore is in LDFLAGS,23895,4,2015-04-09.13:43:05,2015-06-15.15:19:15,2,['1'],1,17925
Make webbrowser support Chrome on Mac OS X,24452,4,2015-06-14.21:33:25,2015-06-15.01:17:39,None,"['9', '10']",1,3911
Update test_unicodedata.py to use script_helpers,23981,4,2015-04-17.00:00:34,2015-06-14.17:26:42,6,['12'],1,21254
OSError 17 due to _multiprocessing/semaphore.c assuming a one-to-one Pid -> process mapping.,24303,4,2015-05-27.18:22:59,2015-06-13.13:18:18,5,['9'],1,21890
Derby #18: Convert 31 sites to Argument Clinic across 23 files,20186,4,2014-01-08.00:23:06,2015-06-12.21:23:19,6,"['5', '31']",1,2731
Documentation of EnvironmentError (OSError) arguments disappeared,23391,4,2015-02-04.05:06:50,2015-06-12.01:48:53,None,['4'],1,14751
Add AF_IUCV support to sockets,23830,4,2015-03-31.19:01:24,2015-06-11.19:21:11,6,['9'],1,21128
sqlite3.Cursor.lastrowid isn't populated when executing a SQL REPLACE statement,16864,4,2013-01-04.17:24:20,2015-06-11.00:56:57,6,['9'],1,17097
format method: c presentation type broken in 2.7,7267,4,2009-11-05.16:22:47,2015-06-10.18:54:25,5,['8'],1,22
lzma module very slow with line-oriented reading.,18003,4,2013-05-17.22:27:24,2015-06-10.03:07:25,7,['9'],1,17877
"Broken ""Exception ignored in:"" message on exceptions in __repr__",22836,4,2014-11-10.10:22:49,2015-06-10.02:02:06,5,['8'],1,18940
Increase pickle compatibility,13566,4,2011-12-09.13:25:03,2015-06-09.10:08:12,6,['9'],1,13976
IDLE removes elements from tracebacks.,24252,4,2015-05-21.00:44:08,2015-06-08.11:41:35,5,['6'],1,19901
Docs on Parsing arguments should say something about mem mgmt for formatters returning C strings,24278,4,2015-05-24.15:27:38,2015-06-08.02:06:16,None,['4'],1,1149
Test urllib2_localnet fails depending on host proxy configuration,24393,4,2015-06-06.12:48:56,2015-06-07.05:55:54,5,['12'],1,16000
stdout error at interpreter shutdown fails to return OS error status,5319,4,2009-02-19.17:38:00,2015-06-06.03:27:23,5,['8'],1,711
Interrupts are lost during readline PyOS_InputHook processing (reopening),23237,4,2015-01-14.02:13:03,2015-06-05.15:30:57,5,['5'],1,20665
Remove a now-unnecessary workaround from importlib._bootstrap.,24320,4,2015-05-28.22:34:56,2015-06-03.00:52:31,None,[],1,14000
unittest.mock patch autospec doesn't work on staticmethods,23078,4,2014-12-18.08:45:22,2015-06-02.16:27:05,5,['9'],1,20560
Library and include paths not added when cross-compiling on localized system,23767,4,2015-03-24.20:04:00,2015-06-01.18:27:49,None,['28'],1,21045
Add -3 warnings for codec convenience method changes,19543,4,2013-11-10.09:20:47,2015-06-01.03:33:34,6,['8'],1,1309
http.client.HTTPMessage.getallmatchingheaders() always returns [],5053,4,2009-01-25.15:24:32,2015-05-31.11:13:17,5,['9'],1,9313
CGIHTTPRequestHandler.run_cgi() HTTP_ACCEPT improperly parsed,5054,4,2009-01-25.15:30:02,2015-05-31.11:10:59,5,['9'],1,9313
"urllib.parse wrongly strips empty #fragment, ?query, //netloc",22852,4,2014-11-12.10:23:30,2015-05-31.07:49:28,6,['9'],1,20410
Add named tuple reader to CSV module,1818,4,2008-01-13.22:27:14,2015-05-29.06:50:46,6,['9'],1,114
irrelevant cross-link in documentation of user-defined functions,24314,4,2015-05-28.14:27:14,2015-05-29.04:12:12,5,['4'],1,10609
SSLSocket.getpeercertchain(),18233,4,2013-06-16.20:39:55,2015-05-28.16:07:07,6,[],1,3108
Generate PC/python3.def by scraping headers,23903,4,2015-04-10.03:49:20,2015-05-28.15:47:36,6,"['1', '15']",1,15467
MIPS64 needs ffi's n32.S,23575,4,2015-03-03.16:27:17,2015-05-27.06:43:37,2,['22'],1,20913
Broken code for handling file://host in urllib.request.FileHandler.file_open,21970,4,2014-07-13.01:49:21,2015-05-27.05:31:43,5,['9'],1,14751
Group the docs of similar methods in stdtypes.rst,23560,4,2015-03-02.09:28:10,2015-05-27.00:35:57,6,['4'],1,7047
Redirect is not working correctly in urllib2,14132,4,2012-02-26.15:15:31,2015-05-26.03:55:01,5,['9'],1,15554
Make class definition namespace ordered by default,24254,4,2015-05-21.05:34:48,2015-05-26.02:03:17,5,['8'],1,14000
nntplib file write failure causes exception from QUIT command,22350,4,2014-09-07.03:40:18,2015-05-25.07:28:45,5,['9'],1,14751
Change os.access to check ACLs under Windows,2528,4,2008-04-01.14:19:18,2015-05-23.20:27:20,6,"['9', '15']",1,3951
socketserver can not listen IPv6 address,20215,4,2014-01-10.02:03:02,2015-05-23.04:01:34,6,['9'],1,18837
"[http.client] HTTPConnection.request not support ""chunked"" Transfer-Encoding to send data",12319,4,2011-06-12.10:47:13,2015-05-23.01:38:35,6,['9'],1,10304
Create unit tests for turtle textonly,21916,4,2014-07-04.13:12:44,2015-05-21.20:15:18,6,['12'],1,17643
Fix EINTR Socket Module issues in 2.7,23863,4,2015-04-04.02:51:25,2015-05-21.16:06:21,5,[],1,12292
test_trace uses test_pprint,24215,4,2015-05-17.05:55:50,2015-05-20.16:38:31,5,['12'],1,15623
calling email.utils.make_msgid frequently has a non-trivial probability of generating colliding ids,6598,4,2009-07-30.00:32:14,2015-05-19.12:33:37,5,['9'],1,3
Wrong range checking in GB18030 decoder.,24117,4,2015-05-03.08:16:59,2015-05-19.06:28:24,5,['14'],1,19314
IDLE: exec IDLESTARTUP/PYTHONSTARTUP on restart,5233,4,2009-02-12.22:34:41,2015-05-18.21:50:01,5,['6'],1,9239
2.7 IDLE  console uses incorrect encoding.,15809,4,2012-08-29.12:41:35,2015-05-17.10:54:18,5,['6'],1,16466
Memory leak in Modules/sre_lib.h,23689,4,2015-03-17.16:56:20,2015-05-16.17:16:06,3,['11'],1,12207
"Constructors of weakref mapping classes don't accept ""self"" and ""dict"" keyword arguments",22958,4,2014-11-27.16:13:23,2015-05-16.16:11:09,5,['9'],1,15623
Support setting the encoding on a text stream after creation,15216,4,2012-06-28.10:49:17,2015-05-16.14:42:19,6,[],1,1309
Derby #13: Convert 50 sites to Argument Clinic across 5 files,20182,4,2014-01-08.00:17:37,2015-05-16.12:58:19,6,"['5', '31']",1,2731
Improve C-API doc for PyTypeObject,17045,4,2013-01-27.00:11:25,2015-05-16.12:35:16,6,['4'],1,14000
ctypes.utils uninitialized variable 'path',24114,4,2015-05-02.15:03:15,2015-05-16.08:04:23,None,['22'],1,11236
"argparse required arguments displayed under ""optional arguments""",9694,4,2010-08-26.18:19:17,2015-05-16.00:30:11,6,['4'],1,12894
Remove -fno-common compile option from OS X framework builds?,24130,4,2015-05-06.01:21:27,2015-05-15.09:08:35,None,"['1', '10']",1,5248
SSLSocket.recv(0) receives up to 1024 bytes,23804,4,2015-03-29.10:30:23,2015-05-15.05:04:50,5,['9'],1,14751
dict(list) and dict.fromkeys() doesn't account for 2/3 fill ratio,23971,4,2015-04-15.23:35:44,2015-05-13.18:13:01,7,['8'],1,2731
Missing size argument in readline() method for httplib's class LineAndFileWrapper,17849,4,2013-04-26.12:27:04,2015-05-13.07:13:11,5,['9'],1,15644
unittest discovery doesn't detect namespace packages when given no parameters,23882,4,2015-04-07.11:36:35,2015-05-12.20:10:50,5,[],1,19990
Give clear error messages for invalid types used for setup.py params (e.g. tuple for classifiers),19610,4,2013-11-15.11:24:52,2015-05-12.14:28:08,6,['3'],1,14674
Dynamically control debugging output,23034,4,2014-12-11.21:09:33,2015-05-12.13:49:57,6,['8'],1,15623
Deprecate nonstandard behavior of a dumbdbm database,21708,4,2014-06-10.18:31:22,2015-05-12.11:47:44,6,[],1,15623
Restrict default pickleability,22995,4,2014-12-04.13:16:43,2015-05-12.11:17:46,6,['8'],1,15623
Derby #4: Convert 53 sites to Argument Clinic across 5 files,20173,4,2014-01-07.23:46:33,2015-05-12.11:01:02,6,"['5', '31']",1,2731
Argument Clinic: add the boolint converter,24037,4,2015-04-23.10:33:08,2015-05-12.10:52:01,6,['31'],1,15623
Add datetime.time.strptime and datetime.date.strptime,1100942,4,2005-01-12.14:53:01,2015-05-11.21:23:04,6,['5'],1,3581
Support pickling objects with __new__ with keyword arguments with protocol 2+,24164,4,2015-05-11.10:49:50,2015-05-11.10:49:50,6,"['5', '8', '9']",1,15623
There is a duplicate function in Lib/test/test_pathlib.py,19873,4,2013-12-03.08:30:49,2015-05-10.15:21:43,5,['12'],1,17937
Support |= for parameters in converters,24145,4,2015-05-08.12:33:11,2015-05-09.09:01:50,6,['31'],1,2731
mmap.flush does not check for errors on windows,2122,4,2008-02-15.13:20:02,2015-05-07.14:45:54,5,['9'],1,3935
socket: Buffer overrun while reading unterminated AF_UNIX	addresses,8372,4,2010-04-11.18:33:03,2015-05-06.18:06:10,4,['5'],1,2694
Derby #9: Convert 52 sites to Argument Clinic across 11 files,20178,4,2014-01-08.00:14:38,2015-05-06.07:56:46,6,"['5', '31']",1,2731
msilib.SummaryInfo.GetProperty() truncates the string by one character,1104,4,2007-09-04.22:03:41,2015-05-06.07:11:33,5,"['9', '15']",1,1334
argparse assertion failure with brackets in metavars,11874,4,2011-04-19.08:20:50,2015-05-05.21:08:44,5,['9'],1,14153
X509 cert class for ssl module,18369,4,2013-07-05.20:10:37,2015-05-05.18:45:39,6,['5'],1,3108
Uninitialized value read in parsetok.c,3367,4,2008-07-15.20:21:03,2015-05-04.18:08:39,1,['8'],1,2217
Derby #10: Convert 50 sites to Argument Clinic across 4 files,20179,4,2014-01-08.00:15:20,2015-05-04.11:34:48,6,"['5', '31']",1,2731
Document unicode C-API in reST,10435,4,2010-11-16.16:16:45,2015-05-03.18:31:58,None,['4'],1,1427
Derby #6: Convert 50 sites to Argument Clinic across 8 files,20175,4,2014-01-07.23:48:19,2015-05-03.13:21:14,6,"['5', '31']",1,2731
show median in benchmark results,22881,4,2014-11-16.09:50:17,2015-05-03.12:25:33,6,['24'],1,2153
Strings passed to KeyError do not round trip,2651,4,2008-04-17.17:24:40,2015-04-30.23:20:29,5,['8'],1,4934
pstats: sub-millisecond display,24084,4,2015-04-30.16:27:51,2015-04-30.21:30:19,6,['9'],1,19250
Expose RegUnLoadKey in winreg,21518,4,2014-05-17.17:12:40,2015-04-30.10:34:21,6,['9'],1,12504
concurrent.futures.ThreadPoolExecutor/ProcessPoolExecutor should accept an initializer argument,21423,4,2014-05-03.23:38:08,2015-04-30.10:19:15,6,['9'],1,19539
Add a vendor-packages directory for system-supplied modules,1298835,4,2005-09-22.15:12:42,2015-04-29.20:22:05,6,['8'],1,3645
distutils fail to determine c++ linker with unixcompiler if using ccache,8027,4,2010-02-27.15:24:01,2015-04-27.11:27:56,2,['3'],1,11934
raw deflate format and zlib module,5784,4,2009-04-17.22:10:20,2015-04-26.18:47:33,6,['4'],1,441
HTTPError interface changes / breaks depending on what was passed to constructor,13567,4,2011-12-09.15:54:42,2015-04-26.16:41:44,5,['9'],1,15251
Make inspect.signature expression evaluation more powerful,23967,4,2015-04-15.18:52:37,2015-04-25.08:02:33,6,['9'],1,2731
Unify tests for str.format and string.Formatter,14019,4,2012-02-15.08:15:04,2015-04-24.15:56:59,6,['12'],1,1309
"Python Launcher, Windows, fails on scripts w/ non-latin names",20042,4,2013-12-21.14:10:03,2015-04-23.21:34:37,5,"['14', '15']",1,10998
Improve devguide Windows instructions,17570,4,2013-03-29.02:13:34,2015-04-22.15:51:15,6,['26'],1,7047
Argument Clinic: docstring_prototype output causes build failure on Windows,20323,4,2014-01-21.06:05:43,2015-04-22.08:06:25,2,"['1', '2', '15', '31']",1,15467
Mutable Sequence Type works different for lists and bytearrays in slice[i:j:k],12606,4,2011-07-21.22:31:34,2015-04-20.20:45:28,6,['8'],1,12289
Use The CygwinCCompiler Under Cygwin,2445,4,2008-03-21.16:41:36,2015-04-20.06:57:07,2,['3'],1,2528
accept keyword arguments on most base type methods and builtins,8706,4,2010-05-13.19:10:53,2015-04-20.06:05:46,6,"['5', '8']",1,252
Clarify documentation of positional-only default values,23738,4,2015-03-22.10:31:01,2015-04-20.02:30:04,6,['4'],1,14751
Tarfile using fstat on GZip file object,22468,4,2014-09-23.08:49:52,2015-04-20.01:25:10,5,['4'],1,20179
Add windows_helper module helper,22080,4,2014-07-26.12:39:33,2015-04-19.20:22:54,6,['12'],1,12504
Add error checks to PyInit_pyexpat(),24012,4,2015-04-19.19:33:15,2015-04-19.19:33:15,5,['5'],1,3108
Add error checks to PyInit_signal(),24011,4,2015-04-19.19:28:15,2015-04-19.19:28:15,5,['5'],1,3108
Add error checks to PyInit__locale(),24010,4,2015-04-19.19:26:39,2015-04-19.19:26:39,5,['5'],1,3108
Drop extraneous comment from winreg.QueryValue's docstring,23701,4,2015-03-18.16:51:10,2015-04-19.19:22:28,6,['9'],1,12504
devguide: buggy heading numbers,17227,4,2013-02-18.19:50:02,2015-04-19.18:17:00,5,['26'],1,2040
unicodedata_UCD_lookup() has theoretical buffer overflow,23997,4,2015-04-18.22:32:38,2015-04-18.22:32:38,5,[],1,3108
Unify buffered readers,19051,4,2013-09-19.14:22:09,2015-04-18.08:22:44,6,"['9', '23']",1,15623
Python3.2.2 make fail on cygwin,13756,4,2012-01-10.12:44:18,2015-04-18.07:01:22,2,['1'],1,15336
ZipInfo.external_attr are not documented,18262,4,2013-06-19.06:19:22,2015-04-17.22:54:45,6,"['4', '9']",1,2984
Add --prompt option to venv,22829,4,2014-11-09.17:59:17,2015-04-17.13:27:21,6,['9'],1,18012
Resolve distutils option conflicts with priorities,22269,4,2014-08-24.22:32:24,2015-04-17.05:55:42,None,['3'],1,19503
httplib/http.client in method _tunnel used HTTP/1.0 CONNECT method,22708,4,2014-10-23.06:21:23,2015-04-16.16:57:25,5,['9'],1,20325
Command-line arguments when running in IDLE,5680,4,2009-04-03.22:42:34,2015-04-16.09:22:27,5,['6'],1,8818
httplib simply ignores CONTINUE,1346874,4,2005-11-03.12:23:56,2015-04-16.01:42:12,5,['9'],1,2879
optparse: various problems with unicode and gettext,2931,4,2008-05-20.15:31:18,2015-04-15.13:15:10,5,['9'],1,7562
Incorrect TimeoutError referenced in concurrent.futures documentation,23962,4,2015-04-15.03:33:52,2015-04-15.04:51:17,None,['4'],1,19556
Add ABCMeta.has_methods and tests that use it,9731,4,2010-09-01.13:02:32,2015-04-14.20:47:41,6,"['9', '12']",1,5251
"Standardize documentation whitespace, formatting",23921,4,2015-04-12.04:58:58,2015-04-14.19:59:59,6,['4'],1,21232
test_urllib fails in refleak mode,12923,4,2011-09-06.23:40:57,2015-04-14.18:40:03,5,['12'],1,11089
Fix unicodeless build of Python,21833,4,2014-06-24.06:53:22,2015-04-14.16:55:33,2,"['1', '12', '14', '23']",1,15623
Content-length is incorrect when request body is a list or tuple,23350,4,2015-01-30.01:12:42,2015-04-14.15:48:37,5,['9'],1,17261
reset_mock needs parameters to also reset return_value and side_effect,21271,4,2014-04-16.20:51:44,2015-04-14.15:25:25,6,['9'],1,9716
Summary tables for argparse add_argument options,13850,4,2012-01-24.05:54:57,2015-04-14.00:41:04,6,['4'],1,1309
StopTestRun exception to halt test run,10612,4,2010-12-03.02:09:28,2015-04-13.23:36:42,6,['9'],1,9716
imaplib truncates some untagged responses,21815,4,2014-06-20.14:39:56,2015-04-13.22:38:44,5,"['9', '29']",1,19779
importlib does not properly remove frames when invoking external import hooks,23773,4,2015-03-25.03:28:58,2015-04-13.22:14:31,5,['9'],1,18878
gettext breaks on empty plural-forms value,12425,4,2011-06-28.07:38:27,2015-04-13.17:38:57,5,['9'],1,5277
imaplib: incorrect quoting in commands,917120,4,2004-03-16.06:36:58,2015-04-13.17:34:22,5,"['9', '29']",1,737
Document magic methods called by built-in functions,10289,4,2010-11-01.23:54:55,2015-04-12.08:31:34,6,['4'],1,7641
"Tutorial, list.sort() and items comparability",14050,4,2012-02-18.16:58:48,2015-04-12.00:00:14,6,['4'],1,11727
urllib doesn't put Accept: */* in the headers,22450,4,2014-09-20.23:50:32,2015-04-11.10:56:55,5,[],1,114
"""modernize"" makeopcodetargets.py",20021,4,2013-12-19.04:11:25,2015-04-09.21:32:12,6,['9'],1,14000
int and float should detect inconsistent format strings,17247,4,2013-02-19.22:24:53,2015-04-09.21:08:28,5,['8'],1,3108
